primary_system,role,label,mortality_category,lethality_stage,genotype_id,gene_symbols,zygosity,expression_direction,split,n_phenotype_terms,pmids,phenotype_terms
nervous system,pos,1,death,postnatal,MGI:3027901,Gli3,homozygote,decreased,test,29,2323034|2323034|8026071|2323034|8026071|9232833|7202526|8026071|9232833,cleft palate|polydactyly|synostosis|abnormal cerebral cortex morphology|abnormal stratification in cerebral cortex|abnormal hippocampus development|abnormal thalamus morphology|abnormal hypothalamus morphology|exencephaly|eyelids open at birth|hydrocephaly|abnormal digit morphology|absent corpus callosum|spongiform encephalopathy|short tibia|short fibula|abnormal hippocampal fornix morphology|absent olfactory bulb|abnormal radial glial cell morphology|abnormal olfactory nerve morphology|abnormal neuronal migration|thin cerebral cortex|absent hippocampal commissure|absent anterior commissure|abnormal hippocampus pyramidal cell layer|abnormal cerebral hemisphere morphology|encephalomeningocele|split sternal manubrium|absent pineal gland
behavior/neurological,pos,1,death,adult_aging,MGI:3616169,Gan,homozygote,decreased,train,13,16303566|16565160,abnormal cell morphology|muscle spasm|weakness|progressive muscle weakness|weight loss|abnormal gait|abnormal posture|seizures|muscular atrophy|abnormal locomotor activation|abnormal myelin sheath morphology|abnormal axonal transport|abnormal axon morphology
embryo,pos,1,death,developmental,MGI:6490653,Chd7,homozygote,none,test,2,33127760,embryonic growth arrest|embryonic growth retardation
cardiovascular system,pos,1,death,developmental,MGI:3045809,Fgf15,homozygote,decreased,test,11,15789410,abnormal aorta morphology|overriding aortic valve|abnormal interventricular septum morphology|double outlet right ventricle|abnormal cardiac outflow tract development|ventricular septal defect|atrial septal defect|atrioventricular septal defect|perimembraneous ventricular septal defect|muscular ventricular septal defect|aberrant origin of the right subclavian artery
skeleton,pos,1,death,developmental,MGI:2175716,Nkx3-2,homozygote,decreased,test,31,10449756|11523821|12204261|12204261|14973294|15329346,abnormal malleus morphology|abnormal tympanic ring morphology|abnormal vertebrae morphology|abnormal rib morphology|abnormal cartilage morphology|abnormal cartilage development|kinked tail|thick tail|short tail|absent spleen|decreased body height|abnormal left-right axis patterning|abnormal axial skeleton morphology|abnormal notochord morphology|abnormal thoracic vertebrae morphology|abnormal cervical vertebrae morphology|abnormal digestive organ placement|abnormal pancreas development|small basioccipital bone|small basisphenoid bone|vertebral compression|small caudal vertebrae|absent vertebral body|absent intervertebral disk|abnormal middle ear ossicle morphology|abnormal vertebral arch development|abnormal sclerotome morphology|absent gonial bone|abnormal basicranium morphology|basioccipital bone hypoplasia|tympanic ring hypoplasia
endocrine/exocrine gland,pos,1,death,developmental,MGI:5430383,H2az2|Ugdh,multi-locus,none,test,4,22745308,cleft palate|absent lacrimal glands|abnormal embryonic tissue physiology|abnormal lacrimal gland development
behavior/neurological,pos,1,death,adult_aging,MGI:5304801,,hemizygote,increased,train,12,22219281,decreased brain size|weight loss|decreased body size|hyperactivity|decreased locomotor activity|impaired coordination|poor grooming|hunched posture|limb grasping|abnormal associative learning|impaired contextual conditioning behavior|impaired cued conditioning behavior
embryo,pos,1,death,developmental,MGI:3707690,Ift57,homozygote,decreased,train,18,17027958,abnormal maxilla morphology|polydactyly|exencephaly|absent floor plate|incomplete rostral neuropore closure|open neural tube|abnormal spinal cord morphology|abnormal left-right axis patterning|pericardial edema|abnormal neural tube morphology|embryonic growth retardation|absent embryonic cilia|failure of initiation of embryo turning|delayed embryo turning|abnormal direction of embryo turning|abnormal cranial flexure morphology|abnormal direction of heart looping|ocular hypotelorism
homeostasis/metabolism,pos,1,death,developmental,MGI:2663789,Slc5a3,homozygote,decreased,train,7,12582158,cyanosis|abnormal homeostasis|respiratory distress|apnea|abnormal nervous system electrophysiology|hypoventilation|abnormal amniotic fluid composition
reproductive system,pos,1,death,developmental,MGI:6263195,Poc1a,homozygote,decreased,train,2,,male infertility|female infertility
embryo,pos,1,death,developmental,MGI:5510850,Ctdnep1,homozygote,decreased,test,9,23469192,abnormal embryonic tissue morphology|absent allantois|absent amnion|abnormal extraembryonic mesoderm development|abnormal primordial germ cell morphology|decreased primordial germ cell number|abnormal parietal endoderm morphology|abnormal extraembryonic coelom morphology|abnormal head fold morphology
cardiovascular system,pos,1,death,developmental,MGI:5008408,Tgfb1|Tgfb3,multi-locus,decreased,test,2,18343643,absent vitelline blood vessels|intracranial hemorrhage
cardiovascular system,pos,1,death,developmental,MGI:2668213,Tgfb2,homozygote,decreased,test,105,11390347|11390347|9217007|11784073|11784073|9217007|9217007,"abnormal cochlea morphology|abnormal neurocranium morphology|short mandible|abnormal rib morphology|rib fusion|abnormal sternum morphology|abnormal xiphoid process morphology|abnormal aorta morphology|double outlet right ventricle|trabecula carnea hypoplasia|abnormal atrioventricular cushion morphology|failure of atrioventricular cushion closure|absent maxillary shelf|abnormal mandible morphology|hydronephrosis|absent kidney|abnormal femur morphology|atelectasis|decreased body weight|persistence of hyaloid vascular system|fused cornea and lens|retina hyperplasia|cyanosis|testis hypoplasia|respiratory distress|abnormal limb morphology|abnormal craniofacial bone morphology|abnormal kidney morphology|abnormal macrophage physiology|dilated renal tubule|abnormal atrioventricular valve morphology|abnormal semilunar valve morphology|dilated heart right ventricle|abnormal cochlear ganglion morphology|abnormal cardiovascular development|increased urine protein level|decreased cornea stroma thickness|abnormal cornea posterior stroma morphology|abnormal scala vestibuli morphology|heart valve hyperplasia|interrupted aortic arch|failure of heart looping|retrognathia|absent cornea endothelium|absent Descemet membrane|absent spiral limbus|absent Rosenthal canal|absent deltoid tuberosity|short radius|short ulna|small frontal bone|small interparietal bone|small parietal bone|small temporal bone|absent occipital bone|absent pterygoid process|absent alisphenoid bone|absent interdental cells|abnormal trochanter morphology|absent mandibular angle|abnormal iris stroma morphology|abnormal humerus morphology|spina bifida occulta|abnormal clavicle morphology|abnormal eye posterior chamber morphology|abnormal cornea stroma morphology|abnormal myocardium layer morphology|decreased cornea thickness|abnormal retina neuronal layer morphology|abnormal heart septum morphology|abnormal cardiac outflow tract development|vitreous body deposition|abnormal uterine horn morphology|abnormal renal tubule epithelium morphology|failure of palatal shelf elevation|cleft secondary palate|abnormal thoracic cage shape|abnormal heart ventricle outflow tract morphology|ostium primum atrial septal defect|atrioventricular septal defect|complete atrioventricular septal defect|perimembraneous ventricular septal defect|inlet ventricular septal defect|double inlet heart left ventricle|abnormal truncus arteriosus septation|pulmonary artery hypoplasia|aberrant origin of the right subclavian artery|ascending aorta hypoplasia|aortic arch hypoplasia|persistent right dorsal aorta|thick aortic valve cusps|thick pulmonary valve cusps|patent aortic valve|patent pulmonary valve|thick mitral valve|thick tricuspid valve|absent eye anterior chamber|dilated respiratory conducting tube|ectopic adrenal gland|ectopic testis|interrupted aortic arch, type b|small mandibular condyloid process|small mandibular coronoid process|large fontanelles|small olecranon"
behavior/neurological,pos,1,death,adult_aging,MGI:5755101,Nras,multi-locus,decreased,test,7,23303902,abnormal cranium morphology|tremors|hyperpigmentation|impaired coordination|abnormal gait|hyperresponsive to tactile stimuli|abnormal behavior
cellular,pos,1,death,developmental,MGI:6283327,Ercc6l,hemizygote,decreased,train,13,30232008,decreased embryo size|embryonic growth arrest|abnormal cell nucleus morphology|polyploidy|abnormal cell cycle checkpoint function|abnormal cell physiology|early cellular replicative senescence|abnormal DNA replication|chromosomal instability|decreased fibroblast proliferation|increased embryonic tissue cell apoptosis|increased brain apoptosis|increased micronucleus incidence
nervous system,pos,1,death,developmental,MGI:2684625,Casp3,homozygote,decreased,test,29,14985318|15599395|8934524,delayed bone ossification|abnormal bone marrow development|decreased thymocyte number|abnormal forebrain morphology|abnormal diencephalon morphology|abnormal cerebellum development|abnormal cerebellum external granule cell layer morphology|abnormal cerebellar granule layer morphology|abnormal cerebellar molecular layer|cranioschisis|decreased body size|abnormal eye development|microphthalmia|abnormal retina morphology|abnormal osteoclast physiology|abnormal blood vessel morphology|hydrocephaly|abnormal eye morphology|abnormal skeleton development|abnormal brain morphology|abnormal retina inner nuclear layer morphology|abnormal sagittal suture morphology|abnormal optic stalk morphology|abnormal retina pigment epithelium morphology|abnormal brainstem morphology|decreased apoptosis|abnormal bone ossification|decreased trabecular bone thickness|retina fold
growth/size/body region,pos,1,death,adult_aging,MGI:5442324,Sec63,multi-locus,none,test,1,21685914,liver cyst
embryo,pos,1,death,developmental,MGI:5631069,Dnmt3a,homozygote,decreased,test,1,,abnormal embryo size
hematopoietic system,pos,1,death,adult_aging,MGI:2652709,Csf1|Csf2,multi-locus,decreased,test,12,8018921,osteopetrosis|increased neutrophil cell number|decreased leukocyte cell number|extramedullary hematopoiesis|lung inflammation|interstitial pneumonia|abnormal pulmonary alveolus morphology|abnormal bone marrow morphology|polycythemia|increased hemoglobin content|pulmonary alveolar proteinosis|absent teeth
behavior/neurological,pos,1,death,developmental,MGI:3718199,Slc17a7,homozygote,decreased,test,6,15103023,decreased body weight|unresponsive to tactile stimuli|hunched posture|postnatal growth retardation|abnormal excitatory postsynaptic currents|abnormal miniature excitatory postsynaptic currents
respiratory system,pos,1,death,adult_aging,MGI:5547758,,compound/other,increased,train,2,9040936,increased lung adenocarcinoma incidence|bronchiolar epithelial hyperplasia
endocrine/exocrine gland,pos,1,death,developmental,MGI:2663068,Dach1,homozygote,decreased,train,7,12508235|20869363,cyanosis|respiratory distress|decreased pancreatic beta cell number|small pancreatic islets|decreased pancreatic alpha cell number|absent gastric milk in neonates|decreased pancreatic beta cell proliferation
skeleton,pos,1,death,developmental,MGI:6098734,Gpc6,homozygote,decreased,test,12,28696225,cleft palate|short tibia|short fibula|short femur|abnormal long bone epiphyseal plate proliferative zone|abnormal long bone diaphysis morphology|decreased length of long bones|absent nasal septum|small cranium|decreased fetal weight|decreased chondrocyte proliferation|small snout
homeostasis/metabolism,pos,1,death,adult_aging,MGI:3776780,,other,decreased,train,7,11017072,anemia|abnormal blood circulation|enlarged kidney|kidney failure|increased circulating creatinine level|increased blood urea nitrogen level|abnormal mitochondrial ATP synthesis coupled electron transport
embryo,pos,1,death,developmental,MGI:5296809,Crb2,homozygote,decreased,test,23,22072575,abnormal foregut morphology|open neural tube|abnormal mesoderm development|abnormal endoderm development|abnormal somite development|abnormal gastrulation|increased embryo size|abnormal embryonic tissue morphology|abnormal primitive streak morphology|abnormal chorioallantoic fusion|abnormal notochord morphology|abnormal digestive system development|abnormal vitelline vasculature morphology|abnormal embryonic epiblast morphology|failure of initiation of embryo turning|abnormal embryonic neuroepithelium morphology|small allantois|failure of chorioallantoic fusion|abnormal visceral yolk sac blood island morphology|abnormal head fold morphology|absent heart tube|small amniotic cavity|abnormal anterior primitive streak morphology
embryo,pos,1,death,developmental,MGI:3831427,Brca2,homozygote,decreased,test,2,11694875,abnormal embryo development|embryonic growth retardation
respiratory system,pos,1,death,adult_aging,MGI:3716854,Mapk14|Polr2a,multi-locus,decreased,test,6,17468755,abnormal lung development|abnormal tumor incidence|increased lung adenocarcinoma incidence|increased lung adenoma incidence|enlarged lung|increased lung tumor incidence
neoplasm,pos,1,death,adult_aging,MGI:3707332,Tusc2,heterozygote,decreased,train,15,17318811,vascular inflammation|abnormal tumor incidence|increased leukemia incidence|glomerulonephritis|decreased erythrocyte cell number|increased hemangioma incidence|increased hemangiosarcoma incidence|increased anti-nuclear antigen antibody level|abnormal renal glomerulus morphology|increased susceptibility to autoimmune disorder|arteritis|renal cast|abnormal glomerular capillary thrombosis|increased lymphoma incidence|adipose tissue necrosis
liver/biliary system,pos,1,death,developmental,MGI:6189565,Adamts3,homozygote,decreased,train,10,26446156,small liver|abnormal placenta labyrinth morphology|skin edema|abnormal erythrocyte morphology|liver degeneration|pallor|increased hepatocyte apoptosis|abnormal lymphangiogenesis|absent lymphatic vessels|abnormal placenta fetal blood space morphology
nervous system,pos,1,death,developmental,MGI:3624351,,homozygote,decreased,train,17,12467588|12467588|22884324|22884324,tremors|abnormal spinal cord morphology|decreased spinal cord size|abnormal suckling behavior|hunched posture|impaired righting response|abnormal breathing pattern|neurodegeneration|increased neuron apoptosis|neuron degeneration|astrocytosis|abnormal spinal cord interneuron morphology|muscle hypertonia|abnormal response to tactile stimuli|microgliosis|umbilical hernia|increased spinal cord apoptosis
immune system,pos,1,death,adult_aging,MGI:4940882,Ecm1,homozygote,decreased,train,4,21217760,decreased IgE level|increased susceptibility to autoimmune disorder|abnormal T-helper 2 physiology|decreased susceptibility to type I hypersensitivity reaction
reproductive system,pos,1,death,developmental,MGI:5486218,Ube2q1,homozygote,decreased,train,7,23108111,abnormal mating frequency|abnormal nursing|decreased litter size|maternal effect|decreased circulating prolactin level|delayed female fertility|prolonged diestrus
embryo,pos,1,death,developmental,MGI:6262750,Kif21a,homozygote,decreased,train,1,,abnormal embryo size
skeleton,pos,1,death,postnatal,MGI:2176483,Fgfr2,heterozygote,decreased,test,31,11274405,abnormal neurocranium morphology|short maxilla|hypoglycemia|domed cranium|short snout|abnormal kidney cortex morphology|abnormal liver development|abnormal lung morphology|decreased body size|abnormal intestinal glucose absorption|postnatal growth retardation|abnormal bronchiole morphology|exophthalmos|small kidney|small lung|abnormal sternebra morphology|abnormal zygomatic arch morphology|decreased renal glomerulus number|split xiphoid process|impaired lung alveolus development|shallow orbits|abnormal sternum ossification|dilated proximal convoluted tubule|dilated distal convoluted tubule|abnormal right lung morphology|abnormal pulmonary acinus morphology|impaired lung lobe morphogenesis|decreased nephron number|split sternal manubrium|absent exorbital lacrimal gland|premature coronal suture closure
neoplasm,pos,1,death,adult_aging,MGI:5433595,Bcl2l11,multi-locus,increased,test,1,22081075,increased B cell derived lymphoma incidence
vision/eye,pos,1,death,developmental,MGI:2669228,Prox1,homozygote,decreased,test,12,10080188|10080188|10499794|10499794|10888866|12692551|16122728,abnormal liver development|small liver|abnormal eye development|abnormal lens morphology|edema|abnormal lymph organ development|decreased hepatocyte proliferation|small pancreas|abnormal lens development|absent retina horizontal cells|increased pancreatic acinar cell number|abnormal endocrine pancreas morphology
endocrine/exocrine gland,pos,1,death,developmental,MGI:2173283,Gsx1,homozygote,decreased,test,20,8631293,decreased leukocyte cell number|decreased neutrophil cell number|shortened head|decreased body weight|decreased body size|delayed eyelid opening|abnormal pituitary secretion|abnormal hypothalamus secretion|infertility|abnormal gland morphology|abnormal gland physiology|abnormal thermosensation|decreased lymphocyte cell number|small pituitary gland|abnormal long bone epiphyseal ossification zone morphology|small adenohypophysis|decreased somatotroph cell number|decreased lactotroph cell number|decreased testes secretion|decreased ovary secretion
hearing/vestibular/ear,neg,0,none,na,MGI:3840554,Ucn,homozygote,decreased,train,5,12091910,increased anxiety-related response|increased thigmotaxis|short cochlear outer hair cells|abnormal distortion product otoacoustic emission|increased or absent threshold for auditory brainstem response
cellular,neg,0,none,na,MGI:3608125,Bace1,homozygote,decreased,test,1,15824102,abnormal cell physiology
vision/eye,neg,0,none,na,MGI:6461019,1700088E04Rik,homozygote,decreased,train,1,,abnormal retina morphology
cellular,neg,0,none,na,MGI:5432528,Cirbp,homozygote,decreased,train,4,22711815,abnormal spermatogonia proliferation|abnormal cell cycle|decreased fibroblast proliferation|decreased spermatogonia number
cardiovascular system,neg,0,none,na,MGI:6262500,Gbp2,homozygote,decreased,train,6,,increased heart rate variability|abnormal sinus arrhythmia|abnormal QT variability|cardiovascular system phenotype|prolonged RR interval|increased fasting circulating glucose level
growth/size/body region,neg,0,none,na,MGI:4430496,Fgf18|Glg1,multi-locus,decreased,test,2,20023171,decreased body weight|abnormal tail morphology
homeostasis/metabolism,neg,0,none,na,MGI:3624647,Bodwt1,other,unknown,train,4,16387874|16387874|16595606,abnormal circulating cholesterol level|increased body weight|increased circulating triglyceride level|increased circulating HDL cholesterol level
vision/eye,neg,0,none,na,MGI:2680573,Pax6,heterozygote,unknown,test,7,,anophthalmia|microphthalmia|abnormal lens morphology|cornea opacity|abnormal iris morphology|abnormal retina ganglion layer morphology|anterior iris synechia
immune system,neg,0,none,na,MGI:3040477,Elsgp1,other,unknown,train,1,10903778,abnormal immune serum protein physiology
reproductive system,neg,0,none,na,MGI:5766061,Nkapl,homozygote,decreased,test,5,25875095,small testis|male infertility|azoospermia|arrest of male meiosis|increased male germ cell apoptosis
skeleton,neg,0,none,na,MGI:5487798,,multi-locus,increased,train,10,21769775,short limbs|decreased body weight|decreased body size|abnormal long bone epiphyseal plate morphology|increased width of hypertrophic chondrocyte zone|abnormal long bone epiphyseal plate proliferative zone|decreased trabecular bone thickness|decreased bone trabecula number|decreased trabecular bone volume|abnormal ossification involved in bone maturation
integument,neg,0,none,na,MGI:3622670,Rxra|Rxrb,multi-locus,decreased,test,9,16199515|16751185,alopecia|epidermal hyperplasia|abnormal epidermis stratum corneum morphology|mixed cellular infiltration to dermis|abnormal skin morphology|increased immunoglobulin level|abnormal keratinocyte morphology|hair follicle degeneration|dermal hyperplasia
homeostasis/metabolism,neg,0,none,na,MGI:3039490,,hemizygote,increased,train,13,10480614,decreased body weight|abnormal lipid level|decreased brown adipose tissue amount|decreased white adipose tissue amount|abnormal glucose homeostasis|decreased circulating triglyceride level|decreased circulating insulin level|increased insulin sensitivity|decreased liver weight|abnormal food intake|small pancreatic islets|decreased liver triglyceride level|decreased liver glycogen level
nervous system,neg,0,none,na,MGI:5660858,Nlgn3,multi-locus,decreased,test,1,24995986,decreased miniature inhibitory postsynaptic current frequency
homeostasis/metabolism,neg,0,none,na,MGI:3711206,Mobq5,other,unknown,test,6,16873689,abnormal glucose homeostasis|decreased circulating triglyceride level|decreased circulating free fatty acids level|decreased circulating cholesterol level|decreased circulating glucose level|increased food intake
homeostasis/metabolism,neg,0,none,na,MGI:3608625,Gngt1,homozygote,none,test,1,16102536,photosensitivity
integument,neg,0,none,na,MGI:2655647,Tnxb,homozygote,decreased,test,1,11925569,abnormal skin tensile strength
homeostasis/metabolism,neg,0,none,na,MGI:3850075,Neurog3,multi-locus,decreased,test,1,19487660,increased circulating glucose level
hematopoietic system,neg,0,none,na,MGI:7448522,Rr253,homozygote,altered,test,2,35732734,increased dendritic cell number|decreased dendritic cell number
cardiovascular system,neg,0,none,na,MGI:3529284,Fgf2|Fgf9,multi-locus,decreased,test,2,15621532,heart hypoplasia|increased heart atrium size
cardiovascular system,neg,0,none,na,MGI:5566533,Rbm20,heterozygote,unknown,test,2,24599837,abnormal myocardial fiber morphology|abnormal heart left ventricle morphology
behavior/neurological,neg,0,none,na,MGI:3606586,Avpr1b,homozygote,decreased,train,1,,increased susceptibility to pharmacologically induced seizures
cardiovascular system,neg,0,none,na,MGI:6268768,Hcn1,homozygote,unknown,test,1,,decreased heart rate
immune system,neg,0,none,na,MGI:3815511,Plgr1,other,unknown,train,1,18573896,decreased susceptibility to bacterial infection
hematopoietic system,neg,0,none,na,MGI:5309018,Lair1,multi-locus,none,train,2,22156345,decreased IgG2a level|decreased IgG2b level
integument,neg,0,none,na,MGI:2673338,Adamts20,homozygote,decreased,test,1,12925592,belted
normal,neg,0,none,na,MGI:4888248,Myh14,homozygote,decreased,test,1,20861308,no abnormal phenotype detected
homeostasis/metabolism,neg,0,none,na,MGI:3797405,Igk,compound/other,none,test,2,16543471,abnormal proximal convoluted tubule morphology|decreased blood uric acid level
hematopoietic system,neg,0,none,na,MGI:6263089,P3h3,homozygote,decreased,train,2,,decreased circulating phosphate level|increased mean corpuscular volume
digestive/alimentary,neg,0,none,na,MGI:2673845,Cdcs2,other,unknown,test,1,11707574,intestinal inflammation
nervous system,neg,0,none,na,MGI:3652810,Mmp12|Mmp9,multi-locus,decreased,test,3,10841523|16495447,abnormal myelination|decreased oligodendrocyte number|decreased susceptibility to induced aneurysm formation
hematopoietic system,neg,0,none,na,MGI:3793440,,hemizygote,increased,train,10,12668643|12668643|1622894|3261841|12668643|3261841|15067092|1622894|1622894,abnormal plasma cell morphology|increased IgM level|abnormal B cell morphology|abnormal immature B cell morphology|abnormal pro-B cell morphology|abnormal B-2 B cell morphology|abnormal mature B cell morphology|abnormal germinal center B cell morphology|increased immature B cell number|increased IgG2b level
normal,neg,0,none,na,MGI:3616180,Nkrf,hemizygote,decreased,train,1,16354699,no abnormal phenotype detected
homeostasis/metabolism,neg,0,none,na,MGI:3812591,Bglu4,other,unknown,train,1,18362393,increased circulating glucose level
normal,neg,0,none,na,MGI:3616179,Nkrf,homozygote,decreased,train,1,16354699,no abnormal phenotype detected
nervous system,neg,0,none,na,MGI:7523314,Stmn2,heterozygote,decreased,test,3,35767949,abnormal neuromuscular synapse morphology|abnormal neuron morphology|decreased grip strength
hematopoietic system,neg,0,none,na,MGI:5426520,Arg1,homozygote,none,test,2,22416259,abnormal macrophage physiology|abnormal blood homeostasis
skeleton,neg,0,none,na,MGI:2674105,Fembrs4,other,unknown,train,1,11991724,increased bone strength
hematopoietic system,neg,0,none,na,MGI:5696656,Nmt1,multi-locus,none,train,5,26423150,"abnormal CD4-positive, alpha beta T cell morphology|abnormal CD8-positive, alpha beta T cell morphology|decreased T cell number|decreased double-positive T cell number|decreased single-positive T cell number"
hematopoietic system,neg,0,none,na,MGI:4453223,Arg1,multi-locus,increased,test,1,17450126,decreased macrophage cell number
behavior/neurological,neg,0,none,na,MGI:7414799,Btbd10,homozygote,decreased,train,2,,increased vertical activity|abnormal auditory brainstem response
cardiovascular system,neg,0,none,na,MGI:3851489,,hemizygote,increased,test,1,15256482,abnormal response to cardiac infarction
nervous system,neg,0,none,na,MGI:5485155,Slc29a4,homozygote,decreased,train,1,23255610,abnormal choroid plexus morphology
