mp_id,name
MP:0011086,"postnatal lethality, incomplete penetrance"
MP:0011087,"neonatal lethality, complete penetrance"
MP:0011088,"neonatal lethality, incomplete penetrance"
MP:0011089,"perinatal lethality, complete penetrance"
MP:0011090,"perinatal lethality, incomplete penetrance"
MP:0011091,"prenatal lethality, complete penetrance"
MP:0011092,"embryonic lethality, complete penetrance"
MP:0011093,"embryonic lethality at implantation, complete penetrance"
MP:0011094,"embryonic lethality before implantation, complete penetrance"
MP:0011095,"embryonic lethality between implantation and placentation, complete penetrance"
MP:0011096,"embryonic lethality between implantation and somite formation, complete penetrance"
MP:0011097,"embryonic lethality between somite formation and embryo turning, complete penetrance"
MP:0011098,"embryonic lethality during organogenesis, complete penetrance"
MP:0011099,"lethality throughout fetal growth and development, complete penetrance"
MP:0011100,"preweaning lethality, complete penetrance"
MP:0011101,"prenatal lethality, incomplete penetrance"
MP:0011102,"embryonic lethality, incomplete penetrance"
MP:0011103,"embryonic lethality at implantation, incomplete penetrance"
MP:0011104,"embryonic lethality before implantation, incomplete penetrance"
MP:0011105,"embryonic lethality between implantation and placentation, incomplete penetrance"
MP:0011106,"embryonic lethality between implantation and somite formation, incomplete penetrance"
MP:0011107,"embryonic lethality between somite formation and embryo turning, incomplete penetrance"
MP:0011108,"embryonic lethality during organogenesis, incomplete penetrance"
MP:0011109,"lethality throughout fetal growth and development, incomplete penetrance"
MP:0011110,"preweaning lethality, incomplete penetrance"
MP:0011111,"lethality during fetal growth through weaning, complete penetrance"
MP:0011112,"lethality during fetal growth through weaning, incomplete penetrance"
MP:0011400,"lethality, complete penetrance"
MP:0011614,slow aging
MP:0013139,moribund
MP:0013292,embryonic lethality prior to organogenesis
MP:0013293,embryonic lethality prior to tooth bud stage
MP:0013294,prenatal lethality prior to heart atrial septation
MP:0013297,abnormal susceptibility to colitis induced morbidity/mortality
MP:0013298,increased susceptibility to colitis induced morbidity/mortality
MP:0013299,decreased susceptibility to colitis induced morbidity/mortality
MP:0014235,abnormal tumor-free survival time
MP:0014236,increased tumor-free survival time
MP:0014237,decreased tumor-free survival time
MP:0014257,"embryonic lethality prior to tooth bud stage, complete penetrance"
MP:0014258,"embryonic lethality prior to tooth bud stage, incomplete penetrance"
MP:0014259,"embryonic lethality prior to organogenesis, complete penetrance"
MP:0014260,"embryonic lethality prior to organogenesis, incomplete penetrance"
MP:0020148,abnormal susceptibility to induced morbidity/mortality
MP:0020149,abnormal mortality induced by ionizing radiation
MP:0020344,abnormal susceptibility to injury induced morbidity/mortality
MP:0031020,premature ovarian failure
MP:0031023,decreased susceptibility to Riboviria infection induced morbidity/mortality
MP:0031024,increased susceptibility to Riboviria infection induced morbidity/mortality
MP:0031025,decreased susceptibility to Herpesvirales infection induced morbidity/mortality
MP:0031026,increased susceptibility to Herpesvirales infection induced morbidity/mortality
MP:0031027,decreased susceptibility to Ortervirales infection induced morbidity/mortality
MP:0031028,increased susceptibility to Ortervirales infection induced morbidity/mortality
MP:0031029,decreased susceptibility to Parvoviridae infection induced morbidity/mortality
MP:0031030,increased susceptibility to Parvoviridae infection induced morbidity/mortality
MP:0031031,decreased susceptibility to Hepadnaviridae infection induced morbidity/mortality
MP:0031032,increased susceptibility to Hepadnaviridae infection induced morbidity/mortality
MP:0031033,decreased susceptibility to Poxviridae infection induced morbidity/mortality
MP:0031034,increased susceptibility to Poxviridae infection induced morbidity/mortality
MP:0031035,decreased susceptibility to Adenoviridae infection induced morbidity/mortality
MP:0031036,increased susceptibility to Adenoviridae infection induced morbidity/mortality
MP:0031037,decreased susceptibility to Retroviridae infection induced morbidity/mortality
MP:0031038,increased susceptibility to Retroviridae infection induced morbidity/mortality
MP:0031039,decreased susceptibility to Picornaviridae infection induced morbidity/mortality
MP:0031040,increased susceptibility to Picornaviridae infection induced morbidity/mortality
MP:0031041,decreased susceptibility to Togaviridae infection induced morbidity/mortality
MP:0031042,increased susceptibility to Togaviridae infection induced morbidity/mortality
MP:0031043,decreased susceptibility to Flaviviridae infection induced morbidity/mortality
MP:0031044,increased susceptibility to Flaviviridae infection induced morbidity/mortality
MP:0031045,decreased susceptibility to Orthomyxoviridae infection induced morbidity/mortality
MP:0031046,increased susceptibility to Orthomyxoviridae infection induced morbidity/mortality
MP:0031047,decreased susceptibility to Coronaviridae infection induced morbidity/mortality
MP:0031048,increased susceptibility to Coronaviridae infection induced morbidity/mortality
MP:0031049,decreased susceptibility to Paramyxoviridae infection induced morbidity/mortality
MP:0031050,increased susceptibility to Paramyxoviridae infection induced morbidity/mortality
MP:0031149,abnormal susceptibility to thrombosis induced morbidity/mortality
MP:0031150,decreased susceptibility to thrombosis induced morbidity/mortality
MP:0031151,increased susceptibility to thrombosis induced morbidity/mortality
MP:0031185,sudden unexpected death in epilepsy
MP:0031279,abnormal susceptibility to aneurysm induced morbidity/mortality
MP:0031280,decreased susceptibility to aneurysm induced morbidity/mortality
MP:0031281,increased susceptibility to aneurysm induced morbidity/mortality
MP:0031660,"prenatal lethality prior to heart atrial septation, incomplete penetrance"
MP:0031661,"prenatal lethality prior to heart atrial septation, complete penetrance"
MP:0010768,mortality/aging
