primary_system,role,label,mortality_category,lethality_stage,genotype_id,gene_symbols,zygosity,expression_direction,split,n_phenotype_terms,pmids,phenotype_terms
immune system,pos_adult,1,death,adult_aging,MGI:4940107,Ctla4,homozygote,decreased,test,1,11035773,increased acute inflammation
immune system,pos_adult,1,death,adult_aging,MGI:3793701,Aire,homozygote,decreased,test,12,16172259,increased incidence of corneal inflammation|retina degeneration|liver inflammation|lung inflammation|ovary inflammation|pancreas inflammation|salivary gland inflammation|stomach inflammation|thyroid gland inflammation|prostate gland inflammation|increased autoantibody level|cachexia
immune system,pos_adult,1,death,adult_aging,MGI:2182598,Smad3,homozygote,decreased,test,22,10064594,kyphosis|increased leukocyte cell number|increased neutrophil cell number|increased monocyte cell number|extramedullary hematopoiesis|abnormal immune system morphology|small spleen|spleen hypoplasia|enlarged lymph nodes|decreased body size|thymus hypoplasia|abnormal thymus involution|abnormal T cell activation|increased inflammatory response|pancreas inflammation|stomach inflammation|abnormal T cell physiology|colitis|increased intestinal adenocarcinoma incidence|small intestinal inflammation|enlarged mesenteric lymph nodes|impaired neutrophil chemotaxis
immune system,pos_adult,1,death,adult_aging,MGI:2450135,Fas,homozygote,decreased,test,67,12486097|12486097|309911|6444324|3009614|3009614|762500|309911|309911|762500|6444324|6610701|6610701|6975351|762500|7628400|7957574|8163351,abnormal thyroid gland morphology|enlarged spleen|enlarged lymph nodes|enlarged thymus|skin lesions|abnormal cardiovascular system physiology|abnormal immune system physiology|blood vessel inflammation|salivary gland inflammation|abnormal gland morphology|abnormal lymph node morphology|abnormal thymus medulla morphology|abnormal T cell physiology|increased immunoglobulin level|increased IgG level|increased IgM level|increased IgA level|abnormal type III hypersensitivity reaction|abnormal immune system organ morphology|glomerulonephritis|joint swelling|increased urine protein level|increased circulating serum albumin level|thyroid gland inflammation|thymus atrophy|increased autoantibody level|abnormal submandibular gland morphology|abnormal coronary artery morphology|abnormal thyroid follicle morphology|increased anti-double stranded DNA antibody level|increased anti-single stranded DNA antibody level|increased anti-nuclear antigen antibody level|increased anti-erythrocyte antigen antibody level|abnormal B cell morphology|increased thymus weight|abnormal cytotoxic T cell physiology|abnormal T cell proliferation|increased susceptibility to autoimmune disorder|abnormal circulating protein level|abnormal T-helper 2 physiology|increased circulating total protein level|abnormal T cell morphology|lymph node hyperplasia|enlarged Peyer's patches|abnormal marginal zone B cell morphology|increased IgG1 level|increased IgG2a level|increased IgG2b level|decreased interleukin-2 secretion|abnormal interleukin level|abnormal B cell receptor editing|abnormal lymph node cell ratio|submandibular gland inflammation|lacrimal gland inflammation|abnormal glomerular capillary morphology|renal cast|increased renal glomerulus basement membrane thickness|increased mesangial cell number|increased kidney cell proliferation|abnormal glomerular capillary endothelium morphology|glomerular crescent|thymus cortex atrophy|increased synovial pannus formation|renal glomerular protein deposits|renal glomerular immunoglobulin deposits|lymph node hemorrhage|lymph node necrosis
immune system,pos_dev,1,death,developmental,MGI:2176744,Bcl2l11,homozygote,decreased,test,45,10576740|15210829|18275831,"increased leukocyte cell number|increased monocyte cell number|increased granulocyte number|abnormal spleen morphology|enlarged spleen|spleen hyperplasia|increased inflammatory response|vascular inflammation|abnormal kidney morphology|abnormal plasma cell morphology|increased IgG level|increased IgM level|increased IgA level|dilated renal tubule|glomerulonephritis|thrombocytopenia|increased autoantibody level|abnormal lymphocyte physiology|increased anti-double stranded DNA antibody level|increased anti-single stranded DNA antibody level|increased anti-nuclear antigen antibody level|increased anti-histone antibody level|increased B cell number|increased T cell number|increased double-negative T cell number|decreased double-positive T cell number|abnormal B cell proliferation|abnormal renal glomerulus morphology|increased susceptibility to autoimmune disorder|increased blood urea nitrogen level|increased CD4-positive, alpha-beta T cell number|increased CD8-positive, alpha-beta T cell number|increased follicular B cell number|increased marginal zone B cell number|increased transitional stage B cell number|increased immature B cell number|decreased B cell apoptosis|abnormal splenic cell ratio|increased splenocyte number|abnormal renal glomerulus basement membrane morphology|expanded mesangial matrix|increased renal glomerulus apoptosis|renal cast|glomerular crescent|renal glomerular immunoglobulin deposits"
immune system,neg,0,none,na,MGI:4943708,Il27ra,homozygote,decreased,test,1,19620301,increased susceptibility to induced arthritis
immune system,neg,0,none,na,MGI:6461677,Slitrk5,homozygote,decreased,train,5,,abnormal urinary bladder morphology|abnormal spleen morphology|enlarged lymph nodes|abnormal skin morphology|abnormal lymph node morphology
immune system,neg,0,none,na,MGI:6272621,Wdr41,homozygote,unknown,train,3,30442666,"increased CD4-positive, alpha-beta T cell number|increased CD8-positive, alpha-beta T cell number|increased tumor necrosis factor secretion"
immune system,neg,0,none,na,MGI:3628787,H2,compound/other,unknown,test,1,8350054,decreased susceptibility to autoimmune diabetes
immune system,neg,0,none,na,MGI:3531092,Prnp,multi-locus,mixed,train,1,8635458,increased susceptibility to prion infection
cardiovascular system,pos_adult,1,death,adult_aging,MGI:3789949,F5|Proz,multi-locus,decreased,test,2,10829076,hemorrhage|abnormal thrombosis
cardiovascular system,pos_adult,1,death,adult_aging,MGI:3639117,,hemizygote,increased,train,5,11909972,cardiac hypertrophy|thick ventricular wall|increased myocardial fiber size|cardiac interstitial fibrosis|decreased heart left ventricle muscle contractility
cardiovascular system,pos_adult,1,death,adult_aging,MGI:2677593,Pdpk1,multi-locus,none,test,16,12970179,abnormal heart morphology|heart right ventricle hypertrophy|abnormal myocardial fiber morphology|thin ventricular wall|decreased body weight|abnormal cardiovascular system physiology|abnormal cardiovascular system morphology|small heart|dilated cardiomyopathy|abnormal heart right ventricle morphology|abnormal Z line morphology|decreased myocardial fiber size|decreased cardiac muscle contractility|abnormal heart ventricle morphology|increased heart atrium size|myocardium hypoplasia
cardiovascular system,pos_adult,1,death,adult_aging,MGI:6194350,,hemizygote,increased,train,6,25857621,cardiac hypertrophy|abnormal heart left ventricle morphology|increased myocardial fiber size|decreased cardiac muscle contractility|cardiac interstitial fibrosis|abnormal heart echocardiography feature
cardiovascular system,pos_dev,1,death,developmental,MGI:5767811,Spi1,homozygote,decreased,test,1,,hemorrhage
cardiovascular system,neg,0,none,na,MGI:4367117,Ddr1|Ldlr,multi-locus,decreased,test,2,18451340,decreased macrophage cell number|atherosclerotic lesions
cardiovascular system,neg,0,none,na,MGI:3057015,Zic3,homozygote,unknown,test,2,15384171,abnormal heart looping|abnormal left-right axis patterning
cardiovascular system,neg,0,none,na,MGI:7562245,Isl1|Jun,multi-locus,none,test,1,23437302,"interrupted aortic arch, type b"
cardiovascular system,neg,0,none,na,MGI:6262688,Il18r1,homozygote,decreased,test,1,,prolonged RR interval
cardiovascular system,neg,0,none,na,MGI:5757159,Gatm,homozygote,decreased,train,25,,decreased locomotor activity|decreased exploration in new environment|male infertility|female infertility|decreased circulating alkaline phosphatase level|thrombocytopenia|prolonged QT interval|increased heart rate variability|abnormal sinus arrhythmia|abnormal QT variability|decreased circulating cholesterol level|decreased heart rate|increased circulating aspartate transaminase level|cardiovascular system phenotype|increased mean corpuscular hemoglobin|increased circulating potassium level|increased circulating amylase level|decreased prepulse inhibition|decreased grip strength|decreased red blood cell distribution width|decreased respiratory quotient|prolonged QRS complex duration|prolonged RR interval|prolonged ST segment|decreased food intake
hematopoietic system,pos_adult,1,death,adult_aging,MGI:2677331,Myb,homozygote,none,test,10,12941699,abnormal erythropoiesis|abnormal liver development|decreased thymocyte number|decreased body size|abnormal definitive hematopoiesis|abnormal B cell differentiation|abnormal T cell differentiation|abnormal double-negative T cell morphology|abnormal myeloblast morphology/development|increased megakaryocyte cell number
hematopoietic system,pos_adult,1,death,adult_aging,MGI:5317565,,hemizygote,increased,test,4,21738213,enlarged spleen|increased B cell derived lymphoma incidence|decreased hemoglobin content|increased lymphoma incidence
hematopoietic system,pos_adult,1,death,adult_aging,MGI:5485404,Hdac1|Hdac2,multi-locus,none,test,14,23287868,"enlarged spleen|enlarged thymus|enlarged chest|distended abdomen|thymus hypoplasia|arrested T cell differentiation|increased tumor incidence|increased double-negative T cell number|increased double-positive T cell number|decreased double-positive T cell number|increased pulmonary respiratory rate|decreased CD4-positive, alpha-beta T cell number|decreased CD8-positive, alpha-beta T cell number|increased single-positive T cell number"
hematopoietic system,pos_adult,1,death,adult_aging,MGI:3044883,Npc2,homozygote,decreased,test,1,15071184|17389239,decreased NK cell number
hematopoietic system,pos_dev,1,death,developmental,MGI:5581677,Rcor1,homozygote,decreased,train,2,24652990,abnormal embryonic erythropoiesis|decreased erythroid progenitor cell number
hematopoietic system,neg,0,none,na,MGI:6731259,Blnk,homozygote,decreased,test,7,,increased neutrophil cell number|decreased leukocyte cell number|small spleen|decreased basophil cell number|decreased spleen weight|increased eosinophil cell number|decreased lymphocyte cell number
hematopoietic system,neg,0,none,na,MGI:3055912,Pbrgcsf2,other,unknown,train,1,14725902,abnormal definitive hematopoiesis
hematopoietic system,neg,0,none,na,MGI:4366009,Tcf3,homozygote,decreased,test,4,19752184,arrested B cell differentiation|absent B cells|decreased pro-B cell number|abnormal immunoglobulin light chain V-J recombination
hematopoietic system,neg,0,none,na,MGI:6461425,Mcmbp,heterozygote,decreased,test,4,,decreased bone mineral density|decreased mean corpuscular volume|decreased lean body mass|decreased mean corpuscular hemoglobin
hematopoietic system,neg,0,none,na,MGI:3582411,Tlx1,homozygote,decreased,test,3,7555717,absent spleen|increased splenocyte apoptosis|abnormal spleen development
nervous system,pos_adult,1,death,adult_aging,MGI:5925342,Npc1,multi-locus,none,test,9,21856732,Purkinje cell degeneration|demyelination|weight loss|impaired balance|astrocytosis|abnormal axon morphology|microgliosis|axonal spheroids|increased brain cholesterol level
nervous system,pos_adult,1,death,adult_aging,MGI:4361706,Foxg1|Notch2,multi-locus,decreased,test,9,18155189,abnormal sensory neuron morphology|decreased body weight|increased neuron apoptosis|neuron degeneration|abnormal nervous system physiology|increased neuronal precursor cell number|small pituitary gland|increased apoptosis|abnormal olfactory epithelium morphology
nervous system,pos_adult,1,death,adult_aging,MGI:5449900,,multi-locus,increased,train,2,16636275,abnormal nervous system physiology|abnormal spinal cord grey matter morphology
nervous system,pos_adult,1,death,adult_aging,MGI:4830521,,homozygote,increased,train,15,20660618,impaired coordination|abnormal spatial learning|reduced long-term potentiation|limb grasping|abnormal motor capabilities/coordination/movement|decreased brain weight|gliosis|neurodegeneration|abnormal neuron morphology|increased neuron apoptosis|abnormal miniature excitatory postsynaptic currents|decreased neuron number|impaired contextual conditioning behavior|impaired short-term object recognition memory|decreased hippocampus volume
nervous system,pos_dev,1,death,developmental,MGI:3699261,Tgif1,homozygote,decreased,test,2,17082251,abnormal brain development|exencephaly
nervous system,neg,0,none,na,MGI:3720018,En2,homozygote,decreased,test,7,7909289,abnormal cerebellum morphology|abnormal cerebellum development|abnormal cerebellar foliation|abnormal cerebellum posterior vermis morphology|thin external granule cell layer|abnormal cerebellar granule layer morphology|decreased colliculi size
nervous system,neg,0,none,na,MGI:5527168,Syde1,homozygote,decreased,train,2,23791195,abnormal miniature excitatory postsynaptic currents|abnormal synaptic vesicle number
nervous system,neg,0,none,na,MGI:3694631,Nefh|Nefm,multi-locus,decreased,train,1,17005864,abnormal axonal transport
nervous system,neg,0,none,na,MGI:4431053,26Sor|Grhl3,multi-locus,none,test,2,20152175,exencephaly|abnormal neural tube closure
nervous system,neg,0,none,na,MGI:7260215,Csmd3,homozygote,decreased,train,22,35245678,abnormal stratification in cerebral cortex|decreased body length|decreased body weight|abnormal social investigation|increased anxiety-related response|increased grooming behavior|abnormal object recognition memory|postnatal growth retardation|decreased brain weight|increased thigmotaxis|abnormal nervous system development|decreased neuronal precursor cell number|increased brain size|thin cerebral cortex|abnormal neurite morphology|abnormal dendritic spine morphology|abnormal pyramidal neuron dendrite morphology|abnormal response to social novelty|decreased dendritic spine density|abnormal dendritic mushroom spine morphology|decreased dendritic spine number|abnormal dendrite arborization pattern
growth/size/body region,pos_adult,1,death,adult_aging,MGI:4398739,Pfn2|Smn1,multi-locus,decreased,test,3,19497369,decreased motor neuron number|weight loss|decreased body size
growth/size/body region,pos_adult,1,death,adult_aging,MGI:5441588,Zfp36,homozygote,decreased,test,1,22491258,decreased body weight
growth/size/body region,pos_adult,1,death,adult_aging,MGI:2654632,Erbb2,multi-locus,none,test,6,12526770,abnormal colon morphology|abnormal enteric ganglia morphology|abnormal enteric neuron morphology|decreased body size|distended abdomen|postnatal growth retardation
growth/size/body region,pos_adult,1,death,adult_aging,MGI:7410897,Trex1,homozygote,decreased,test,6,36217001,enlarged spleen|decreased body weight|decreased body size|increased spleen weight|increased susceptibility to autoimmune disorder|increased circulating tumor necrosis factor level
growth/size/body region,pos_dev,1,death,developmental,MGI:5648843,Prickle1,homozygote,decreased,test,45,25190059,short mandible|short premaxilla|cleft palate|abnormal chondrocyte morphology|abnormal hair follicle morphology|abnormal hair follicle orientation|short snout|short limbs|short tail|abnormal nervous system tract morphology|abnormal hippocampus morphology|decreased body size|eyelids open at birth|abnormal developmental patterning|abnormal digit morphology|abnormal kidney morphology|abnormal innervation|abnormal nose morphology|delayed neural tube closure|abnormal renal tubule morphology|dilated renal tubule|delayed endochondral bone ossification|kidney cyst|abnormal striatum morphology|transposition of great arteries|short nasal bone|abnormal cochlear hair cell stereociliary bundle morphology|short cochlear hair cell stereocilia|decreased length of long bones|abnormal kidney collecting duct morphology|abnormal proximal convoluted tubule morphology|abnormal phalanx morphology|abnormal ureteric bud morphology|increased diameter of long bones|enlarged lateral ventricles|increased heart right atrium size|abnormal fetal cardiomyocyte morphology|bifid tongue|atrial septal defect|misaligned sternebrae|wavy tail|short forelimb|abnormal myocardial fiber myofibril morphology|short tongue|myocardial fiber disarray
growth/size/body region,neg,0,none,na,MGI:2677930,,homozygote,unknown,train,2,12955145,decreased body weight|decreased body size
growth/size/body region,neg,0,none,na,MGI:2175245,Bgeq1,other,unknown,train,1,10689807,abnormal postnatal growth/weight/body size
growth/size/body region,neg,0,none,na,MGI:3656482,Mohg1,other,unknown,test,1,16670015,decreased body mass index
growth/size/body region,neg,0,none,na,MGI:3041839,Bw5,compound/other,unknown,train,1,9725853,increased body weight
growth/size/body region,neg,0,none,na,MGI:5781791,Usp42,homozygote,decreased,train,9,,decreased body length|decreased body weight|hyperactivity|male infertility|thrombocytopenia|decreased lean body mass|decreased lumbar vertebrae number|abnormal behavior|increased sacral vertebrae number
skeleton,pos_adult,1,death,adult_aging,MGI:6159281,Mims1,multi-locus,none,train,13,29618611,decreased bone mineral density|decreased compact bone thickness|decreased body weight|abnormal limb morphology|increased osteoclast cell number|decreased bone strength|decreased grip strength|decreased bone mineral content|decreased bone trabecula number|decreased trabecular bone volume|decreased compact bone volume|increased bone trabecular spacing|decreased bone ossification
skeleton,pos_adult,1,death,adult_aging,MGI:5307894,Tnfsf11,homozygote,altered,test,11,22068587,osteopetrosis|failure of tooth eruption|abnormal trabecular bone morphology|enlarged spleen|postnatal growth retardation|thymus hypoplasia|decreased osteoclast cell number|abnormal osteoblast physiology|absent lymph nodes|increased bone trabecula number|increased bone volume
skeleton,pos_adult,1,death,adult_aging,MGI:3640198,Fgfr3,heterozygote,increased,test,19,11406607,delayed bone ossification|malocclusion|abnormal long bone hypertrophic chondrocyte zone|abnormal chondrocyte morphology|short limbs|disproportionate dwarf|abnormal long bone epiphyseal plate morphology|abnormal long bone epiphyseal plate proliferative zone|abnormal spine curvature|decreased length of long bones|abnormal epiphyseal plate morphology|abnormal hyaline cartilage morphology|abnormal costal cartilage morphology|abnormal sternum ossification|increased hyoid bone size|small thoracic cage|abnormal chondrocyte proliferation|abnormal chondrocyte differentiation|round head
skeleton,pos_adult,1,death,adult_aging,MGI:2675624,Acan,heterozygote,unknown,test,9,9192671,abnormal vertebral body morphology|kyphosis|lordosis|abnormal spinal cord morphology|abnormal gait|aphagia|disproportionate dwarf|abnormal intervertebral disk morphology|intervertebral disk degeneration
skeleton,pos_dev,1,death,developmental,MGI:2451173,Sox9,multi-locus,none,test,7,12414734|19261698,absent sternum|abnormal angiogenesis|adactyly|respiratory distress|absent cartilage|abnormal long bone morphology|abnormal limb bud morphology
skeleton,neg,0,none,na,MGI:5520075,Adipoq|Dbh,multi-locus,decreased,test,3,23684624,increased osteoblast cell number|increased bone mass|increased bone ossification
skeleton,neg,0,none,na,MGI:5003151,Ctnnb1|Osr2,multi-locus,none,test,1,21262216,abnormal joint morphology
skeleton,neg,0,none,na,MGI:3586593,Fgfr3,homozygote,unknown,test,14,9887329,abnormal chondrocyte morphology|megacephaly|short tail|decreased body weight|disproportionate dwarf|abnormal long bone epiphyseal plate morphology|short femur|decreased width of hypertrophic chondrocyte zone|abnormal long bone epiphyseal plate proliferative zone|short humerus|short vertebral column|short vertebral body|abnormal skeleton morphology|increased long bone epiphyseal plate size
skeleton,neg,0,none,na,MGI:3037642,Phex,hemizygote,unknown,train,35,15029877|15029877|18289812|18289812,abnormal cochlea morphology|abnormal otic capsule morphology|organ of Corti degeneration|decreased bone mineral density|short maxilla|decreased circulating calcium level|short tail|decreased body weight|circling|abnormal gait|head bobbing|postnatal growth retardation|ear inflammation|increased susceptibility to otitis media|abnormal limb bone morphology|abnormal craniofacial bone morphology|short tibia|short fibula|cochlear ganglion degeneration|short femur|abnormal scala tympani morphology|decreased length of long bones|unilateral deafness|abnormal temporal bone morphology|small cranium|abnormal patella morphology|decreased circulating potassium level|distended Reissner membrane|abnormal vestibular saccule morphology|impaired hearing|disorganized long bone epiphyseal plate|increased diameter of long bones|decreased total body fat amount|increased or absent threshold for auditory brainstem response|short hindlimb
skeleton,neg,0,none,na,MGI:5446041,Mex3c,homozygote,decreased,test,8,22357625,decreased body length|postnatal growth retardation|short tibia|abnormal long bone epiphyseal plate morphology|decreased width of hypertrophic chondrocyte zone|decreased circulating insulin-like growth factor I level|decreased long bone epiphyseal plate size|abnormal insulin-like growth factor I level
digestive/alimentary,pos_adult,1,death,adult_aging,MGI:3690623,Plg,homozygote,decreased,test,20,8929539|9473227,abnormal rectum morphology|rectal prolapse|intestinal ulcer|abnormal liver morphology|abnormal vagina morphology|abnormal lung morphology|weight loss|abnormal conjunctiva morphology|impaired wound healing|abnormal larynx morphology|abnormal trachea morphology|colitis|duodenal ulcer|gastric ulcer|gastrointestinal ulcer|esophageal ulcer|perianal ulcer|abnormal thrombosis|cachexia|abnormal kidney thrombosis
digestive/alimentary,pos_adult,1,death,adult_aging,MGI:3526870,Nherf1,homozygote,decreased,train,4,15591354,decreased circulating phosphate level|abnormal intestine morphology|abnormal intestinal epithelium morphology|abnormal intestine goblet cell morphology
digestive/alimentary,pos_adult,1,death,adult_aging,MGI:2182638,Smad3,homozygote,decreased,test,10,9753318,ruffled hair|rectal prolapse|decreased body size|distended abdomen|increased metastatic potential|abnormal posture|abnormal fertility/fecundity|increased intestinal adenocarcinoma incidence|intestinal obstruction|lethargy
digestive/alimentary,pos_adult,1,death,adult_aging,MGI:3805820,26Sor|Bmi1,multi-locus,none,test,3,18536716,slow postnatal weight gain|abnormal duodenum crypts of Lieberkuhn morphology|abnormal jejunum crypts of Lieberkuhn morphology
digestive/alimentary,pos_dev,1,death,developmental,MGI:3583329,Ret,homozygote,none,test,2,10675330,absent kidney|abnormal intestinal peristalsis
digestive/alimentary,neg,0,none,na,MGI:5767208,Il25,multi-locus,none,train,3,25888259,abnormal colon morphology|decreased susceptibility to induced colitis|decreased susceptibility to weight loss
digestive/alimentary,neg,0,none,na,MGI:3623139,Drd2,homozygote,decreased,test,7,16525059,decreased body weight|abnormal intestinal absorption|increased defecation amount|abnormal intestinal transit time|abnormal large intestinal transit time|increased food intake|increased fluid intake
digestive/alimentary,neg,0,none,na,MGI:6514866,Inava,homozygote,decreased,train,6,29420262,abnormal intestinal epithelium morphology|increased susceptibility to bacterial infection|abnormal protein level|increased susceptibility to induced colitis|increased cell migration|abnormal intestinal epithelium physiology
digestive/alimentary,neg,0,none,na,MGI:3851217,Muc2,homozygote,unknown,train,1,,increased susceptibility to induced colitis
digestive/alimentary,neg,0,none,na,MGI:5446700,Apc|Il22,multi-locus,decreased,test,1,23075849,decreased alimentary system tumor incidence
liver/biliary system,pos_adult,1,death,adult_aging,MGI:2670940,Hnf1b,multi-locus,decreased,test,23,11934849,enlarged liver|jaundice|decreased body weight|decreased body size|increased circulating triglyceride level|hepatic necrosis|postnatal growth retardation|liver inflammation|abnormal lipid homeostasis|abnormal hepatobiliary system morphology|abnormal hepatobiliary system physiology|muscular atrophy|abnormal bile duct physiology|decreased liver function|cachexia|increased circulating cholesterol level|increased circulating bilirubin level|intrahepatic cholestasis|abnormal gallbladder epithelium morphology|abnormal cystic duct morphology|abnormal intrahepatic bile duct morphology|abnormal extrahepatic bile duct morphology|abnormal interlobular bile duct morphology
liver/biliary system,pos_adult,1,death,adult_aging,MGI:3810811,,multi-locus,increased,train,7,11381087,enlarged liver|abnormal hepatocyte morphology|jaundice|focal hepatic necrosis|hepatic steatosis|increased hepatocellular carcinoma incidence|cachexia
liver/biliary system,pos_adult,1,death,adult_aging,MGI:3716591,Usp8,multi-locus,none,train,6,17452457,abnormal hepatocyte morphology|jaundice|hepatic necrosis|liver failure|increased hepatocyte apoptosis|increased circulating bilirubin level
liver/biliary system,pos_adult,1,death,adult_aging,MGI:5052061,,compound/other,increased,train,4,,decreased body size|hyperglycemia|decreased hepatocyte proliferation|abnormal oval cell morphology
liver/biliary system,pos_dev,1,death,developmental,MGI:2183038,Map2k4,homozygote,decreased,test,7,9618507,abnormal liver development|dilated liver sinusoidal space|decreased hepatocyte number|pallor|increased hepatocyte apoptosis|liver hemorrhage|abnormal liver bud morphology
liver/biliary system,neg,0,none,na,MGI:3583451,Ift88,homozygote,unknown,test,10,11773599|11773599|8191288|8191288,polydactyly|abnormal bile duct morphology|increased circulating alkaline phosphatase level|decreased urine osmolality|liver fibrosis|kidney cyst|increased bile salt level|abnormal pancreatic duct morphology|absent oval cells|abnormal oval cell physiology
liver/biliary system,neg,0,none,na,MGI:3799646,,hemizygote,increased,train,1,1394122,increased liver tumor incidence
liver/biliary system,neg,0,none,na,MGI:3577266,Lith18,other,unknown,train,1,15834632,gallstones
liver/biliary system,neg,0,none,na,MGI:3821702,Shmt1,homozygote,decreased,train,1,18644786,abnormal liver physiology
liver/biliary system,neg,0,none,na,MGI:5566667,Mtch2|Speer6-ps1,multi-locus,decreased,test,1,20436477,liver failure
renal/urinary system,pos_adult,1,death,adult_aging,MGI:2672952,Rrm2b,homozygote,decreased,train,19,12858174,abnormal liver morphology|thymus cortex hypoplasia|postnatal growth retardation|abnormal kidney physiology|abnormal sciatic nerve morphology|dilated renal tubule|increased urine protein level|cardiac fibrosis|kidney failure|abnormal submandibular gland morphology|abnormal coronary artery morphology|abnormal mesenteric lymph node morphology|glomerulosclerosis|decreased circulating serum albumin level|increased circulating creatinine level|increased blood urea nitrogen level|decreased spleen white pulp amount|skeletal muscle atrophy|increased kidney apoptosis
renal/urinary system,pos_adult,1,death,adult_aging,MGI:5485366,Cldn4,homozygote,decreased,train,11,23284964,decreased circulating calcium level|abnormal renal/urinary system morphology|hydronephrosis|ureter urothelium hyperplasia|abnormal ureter physiology|increased urine calcium level|abnormal renal reabsorption|abnormal renal calcium reabsorption|abnormal kidney pelvis urothelium morphology|increased kidney cell proliferation|increased urine chloride ion level
