genotype_id,gene_symbols,zygosity,expression_direction,genetic_background,primary_system,n_phenotype_terms,is_famous,eligible,phenotype_terms,pmids,direction,aging_terms,also_developmental
MGI:2174779,Trp53,homozygote,decreased,involves: 129S7/SvEvBrd * C57BL/6,neoplasm,9,1,1,increased tumor incidence|increased T cell derived lymphoma incidence|increased sarcoma incidence|decreased neuron apoptosis|increased hemangiosarcoma incidence|increased osteosarcoma incidence|abnormal cell cycle checkpoint function|decreased apoptosis|increased lymphoma incidence,11150333|11150333|16616333|17417627|1552940|1552940|16616333|1552940|17417627|17417627,shortens,premature death,0
MGI:2174782,Trp53,homozygote,decreased,involves: 129S2/SvPas * C57BL/6,neoplasm,24,1,1,decreased cell proliferation|abnormal apoptosis|abnormal iron level|increased tumor incidence|increased T cell derived lymphoma incidence|increased sarcoma incidence|increased rhabdomyosarcoma incidence|increased carcinoma incidence|increased teratoma incidence|increased hemangioma incidence|decreased cellular sensitivity to gamma-irradiation|colon polyps|gastric polyps|increased hemangiosarcoma incidence|increased osteosarcoma incidence|aneuploidy|increased squamous cell carcinoma incidence|abnormal iron homeostasis|abnormal mitochondrial morphology|decreased cellular sensitivity to ultraviolet irradiation induced cell death|abnormal protein level|increased fibrosarcoma incidence|increased fibroblast proliferation|increased lymphoma incidence,11696456|11696456|15607981|11696456|15607981|7922305|11696456|7922305|14702042|14702042|7922305|15607981|21487039|28747430|7922305,shortens,premature death|decreased tumor-free survival time,1
MGI:2174783,Trp53,heterozygote,decreased,involves: 129S2/SvPas * C57BL/6,neoplasm,21,1,1,abnormal iron level|increased mammary adenocarcinoma incidence|increased tumor incidence|increased leukemia incidence|increased lung adenocarcinoma incidence|increased sarcoma incidence|increased leiomyosarcoma incidence|increased rhabdomyosarcoma incidence|increased carcinoma incidence|gastric polyps|abnormal tumor morphology|increased hemangiosarcoma incidence|increased osteosarcoma incidence|increased squamous cell carcinoma incidence|intestine polyps|increased pancreas tumor incidence|increased adenocarcinoma incidence|increased histiocytic sarcoma incidence|increased fibrosarcoma incidence|increased adenoma incidence|increased lymphoma incidence,11696456|11696456|15607981|11696456|15607981|7922305|11696456|7922305|15607981|17906694|17906694|7922305|28747430|7922305,shortens,premature death|decreased tumor-free survival time,0
MGI:2174799,Vdr,homozygote,decreased,involves: C57BL/6NCrlj * CBA/JNCrlj,reproductive system,57,0,1,decreased bone mineral density|abnormal trabecular bone morphology|abnormal long bone metaphysis morphology|decreased compact bone thickness|abnormal long bone hypertrophic chondrocyte zone|decreased circulating calcium level|decreased circulating phosphate level|abnormal coat/ hair morphology|alopecia|short snout|abnormal colon morphology|abnormal tibia morphology|abnormal female reproductive system morphology|uterus hypoplasia|absent mature ovarian follicles|abnormal male reproductive system morphology|abnormal spermatogenesis|dermatitis|abnormal epidermis stratum granulosum morphology|dermal cyst|decreased body weight|sparse vibrissae|postnatal growth retardation|increased circulating follicle stimulating hormone level|increased circulating luteinizing hormone level|reduced male fertility|reduced female fertility|male infertility|female infertility|abnormal estrous cycle|abnormal gametogenesis|abnormal limb bone morphology|abnormal fertility/fecundity|abnormal fibula morphology|asthenozoospermia|oligozoospermia|abnormal bone mineralization|increased circulating alkaline phosphatase level|rickets|abnormal bone structure|abnormal skin development|decreased susceptibility to autoimmune diabetes|abnormal large intestine crypts of Lieberkuhn morphology|increased testis weight|increased osteoblast cell number|abnormal fat-soluble vitamin level|increased long bone epiphyseal plate size|abnormal bone ossification|dilated seminiferous tubule|decreased splenocyte proliferation|abnormal blood homeostasis|dilated hair follicle|abnormal macrophage chemotaxis|decreased intestinal calcium absorption|abnormal vitamin D level|flat face|decreased hair follicle cell proliferation,10746634|10746634|11385068|11532865|11687634|11697802|9241280|11171393|11851870|9241280|11385068|11385068|9241280|11532865|11532865|11697802|11687634|11687634|11851870|11687634|9241280|11697802|11851870|11851870|9241280|16880407|9241280,shortens,premature death,0
MGI:2174826,,hemizygote,increased,involves: C57BL/6 * DBA/2,integument,10,0,1,irregular coat pigmentation|abnormal hair follicle morphology|small hair follicles|alopecia|abnormal hair cycle|thin dermal layer|abnormal coat appearance|postnatal growth retardation|abnormal vibrissa morphology|abnormal skin physiology,8436293,shortens,premature death,1
MGI:2174842,,hemizygote,increased,involves: C57BL/6 * DBA,integument,13,0,1,underdeveloped hair follicles|waved hair|alopecia|sparse hair|short hair|delayed hair appearance|scaly muzzle|hydronephrosis|ureter urothelium hyperplasia|curly vibrissae|kinked vibrissae|loss of vibrissae|decreased birth body size,10419685,shortens,premature death,0
MGI:2174883,,other,increased,involves: FVB/N,hematopoietic system,11,0,1,"decreased thymocyte number|thymus hypoplasia|abnormal thymus involution|arrested T cell differentiation|increased B cell derived lymphoma incidence|increased T cell derived lymphoma incidence|abnormal CD4-positive, alpha beta T cell morphology|decreased T cell number|decreased double-positive T cell number|decreased CD4-positive, alpha-beta T cell number|decreased CD8-positive, alpha-beta T cell number",10330184,shortens,decreased tumor-free survival time,0
MGI:2174892,Sox1,homozygote,decreased,either: (involves: 129/Sv * 129S/SvEv) or (involves: 129S/SvEv * MF1),vision/eye,7,0,1,abnormal lens vesicle development|microphthalmia|small lens|seizures|abnormal parental behavior|abnormal sexual interaction|abnormal lens development,9512512,shortens,premature death,0
MGI:2174923,Adam17,homozygote,decreased,involves: 129 * C57BL/6,cardiovascular system,26,0,1,enlarged heart|abnormal hair follicle morphology|abnormal hair follicle orientation|abnormal small intestine morphology|decreased body size|curly vibrissae|short vibrissae|eyelids open at birth|abnormal cornea morphology|increased incidence of corneal inflammation|abnormal coat/hair pigmentation|abnormal embryonic tissue morphology|abnormal eye morphology|increased heart weight|thick ventricular wall|abnormal trabecula carnea morphology|abnormal trophoblast layer morphology|abnormal fetal cardiomyocyte morphology|failure of eyelid fusion|ventricular septal defect|thick aortic valve|abnormal bronchiole epithelium morphology|increased fetal cardiomyocyte proliferation|decreased spongiotrophoblast size|abnormal conjunctival sac morphology|increased fetal cardiomyocyte size,14499647|15936750|9812885,shortens,premature death,1
MGI:2174941,Cebpb,homozygote,decreased,involves: 129S/SvEv * MF1,immune system,56,1,1,hypoglycemia|extramedullary hematopoiesis|increased bone marrow cell number|enlarged spleen|enlarged lymph nodes|skin lesions|abnormal circulating free fatty acids level|increased circulating corticosterone level|abnormal humoral immune response|abnormal glucose homeostasis|abnormal lipid homeostasis|abnormal definitive hematopoiesis|abnormal lymph node cortex morphology|abnormal lymph node B cell domain morphology|abnormal lymph node secondary follicle morphology|abnormal lymph node T cell domain morphology|abnormal lymph node medulla morphology|abnormal spleen red pulp morphology|abnormal spleen white pulp morphology|abnormal mucosa-associated lymphoid tissue morphology|abnormal innate immunity|abnormal cell-mediated immunity|abnormal plasma cell morphology|abnormal macrophage physiology|increased IgG level|decreased circulating triglyceride level|decreased circulating free fatty acids level|decreased glycogen catabolism rate|decreased circulating insulin level|enlarged submandibular lymph nodes|glomerulonephritis|increased insulin sensitivity|abnormal gluconeogenesis|abnormal enzyme/coenzyme level|increased susceptibility to fungal infection|decreased percent body fat/body weight|abnormal T-helper 1 physiology|abnormal T-helper 2 physiology|decreased susceptibility to type IV hypersensitivity reaction|hemosiderosis|abnormal adipose tissue physiology|decreased circulating leptin level|impaired lipolysis|enlarged mesenteric lymph nodes|abnormal spleen secondary B follicle morphology|increased circulating interleukin-6 level|decreased circulating interleukin-12 level|decreased gonadal fat pad weight|decreased uterine fat pad weight|enlarged inguinal lymph nodes|enlarged axillary lymph nodes|abnormal lymph node medullary cord morphology|renal glomerulus hypertrophy|expanded mesangial matrix|increased mesangial cell number|increased skeletal muscle cell glucose uptake,10747954|10747954|9916132|7744000|9916132,shortens,premature death,0
MGI:2174947,Edn3,homozygote,decreased,involves: 129S7/SvEvBrd,digestive/alimentary,4,0,1,abnormal colon morphology|absent enteric neurons|aganglionic megacolon|variable body spotting,8001160,shortens,premature death,0
MGI:2174949,Ednrb,homozygote,decreased,involves: 129S5/SvEvBrd,pigmentation,11,0,1,postnatal growth retardation|abnormal coat/hair pigmentation|aganglionic megacolon|white spotting|hypoalgesia|intestinal obstruction|abnormal hair follicle melanocyte morphology|decreased acute inflammation|abnormal choroid pigmentation|cachexia|variable depigmentation,10496965|8001159,shortens,premature death,0
MGI:2174975,Nos1,homozygote,decreased,involves: 129S4/SvJae * C57BL/6,muscle,33,0,1,abnormal liver morphology|abnormal hepatocyte morphology|abnormal motor neuron morphology|increased aggression towards male mice|abnormal breathing pattern|abnormal muscle physiology|abnormal brain morphology|heart left ventricle hypertrophy|abnormal renal tubule morphology|pyloric stenosis|decreased ovulation rate|enlarged stomach|abnormal cardiac muscle relaxation|abnormal peripheral nervous system regeneration|decreased cardiac muscle contractility|abnormal oxygen consumption|increased oxygen consumption|increased pulmonary respiratory rate|increased pulmonary ventilation|increased tidal volume|increased heart ventricle muscle contractility|abnormal mitochondrial physiology|abnormal dendrite morphology|increased physiological sensitivity to xenobiotic|abnormal carbon dioxide production|slow Wallerian degeneration|pyloric sphincter hypertrophy|stomach smooth muscle circular layer hypertrophy|abnormal stomach wall morphology|increased mating frequency|abnormal pulmonary respiratory rate response|delayed peripheral nervous system regeneration|decreased superovulation rate,11907582|11992469|12081996|12788381|12788381|7505721|16246868|16246868|18206129|18206129|7477374|7505721|9679181|9848082|9852587,shortens,premature death|decreased susceptibility to induced morbidity/mortality,0
MGI:2174979,Nos3,homozygote,decreased,involves: 129S4/SvJae,cardiovascular system,25,1,1,abnormal systemic arterial blood pressure|hypertension|abnormal blood flow velocity|abnormal ejaculation|abnormal penile erection|abnormal vasodilation|abnormal neutrophil physiology|increased heart rate|increased systemic arterial blood pressure|decreased coronary flow rate|increased vasoconstriction|abnormal pulmonary vascular resistance|abnormal pulmonary pressure|pulmonary hypertension|abnormal leukocyte adhesion|abnormal response/metabolism to endogenous compounds|decreased neurotransmitter release|increased mean systemic arterial blood pressure|abnormal systemic vascular resistance|insulin resistance|decreased heart rate|decreased vasodilation|increased susceptibility to neuronal excitotoxicity|abnormal heart right ventricle pressure|enhanced leukocyte tethering or rolling,10362674|10484454|10484454|16024729|10549894|10652188|10652188|16024729|10652188|7545787|10905473|11904450|16024729|7545787|8667023|9201025|9692709,shortens,premature death,0
MGI:2174981,Nos3,homozygote,decreased,involves: 129P2/OlaHsd * C57BL/6,cardiovascular system,12,1,1,abnormal pulmonary artery morphology|decreased body weight|abnormal cardiovascular system physiology|abnormal cardiovascular system morphology|increased systemic arterial blood pressure|decreased vascular permeability|increased circulating renin level|abnormal heart weight|increased mean systemic arterial blood pressure|decreased heart rate|decreased body temperature|abnormal heart right ventricle pressure,15821017|15821017|8917564|16886062|8917564,protective,decreased susceptibility to induced morbidity/mortality,0
MGI:2174985,Pik3r1,homozygote,decreased,involves: C57BL/6 * CBA,immune system,14,0,1,hypoglycemia|abnormal humoral immune response|increased susceptibility to bacterial infection|abnormal B cell physiology|decreased circulating insulin level|increased insulin sensitivity|decreased B cell number|decreased B cell proliferation|decreased circulating glucose level|decreased pro-B cell number|decreased pre-B cell number|decreased mature B cell number|increased adipocyte glucose uptake|increased skeletal muscle cell glucose uptake,16114097|16114097|9888854|9888854|9988280,shortens,premature death,0
MGI:2175012,Slc2a4,homozygote,decreased,involves: 129/Sv * C57BL/6 * C57BL/6J * CD-1 * SJL,homeostasis/metabolism,11,0,1,abnormal circulating glucose level|cardiac hypertrophy|postnatal growth retardation|increased circulating insulin level|abnormal muscle physiology|decreased circulating free fatty acids level|increased heart weight|decreased circulating ketone body level|insulin resistance|decreased gonadal fat pad weight|decreased total body fat amount,7675081,shortens,premature death,0
MGI:2175073,Iac,heterozygote,unknown,involves: 101 * C3H,vision/eye,9,0,1,abnormal cranium morphology|decreased body size|microphthalmia|cataract|irregularly shaped pupil|abnormal tooth morphology|abnormal pupillary reflex|coloboma|abnormal placement of pupils,3209064|3209064|7035547|7035547,shortens,premature death,0
MGI:2175074,Irf8,homozygote,decreased,either: (involves: 129P2/OlaHsd) or (involves: 129P2/OlaHsd * C57BL/6),hematopoietic system,24,0,1,increased leukocyte cell number|increased bone marrow cell number|increased granulocyte number|spleen hyperplasia|enlarged lymph nodes|abnormal megakaryocyte morphology|increased immunoglobulin level|increased spleen weight|increased lymphocyte cell number|increased B cell number|decreased lymphocyte cell number|decreased B cell number|decreased T cell number|abnormal cytotoxic T cell physiology|increased macrophage cell number|increased chronic myelocytic leukemia incidence|abnormal plasma cell number|increased mature B cell number|increased spleen red pulp amount|decreased interferon-gamma secretion|increased lymphoma incidence|enhanced erythropoiesis|increased susceptibility to Riboviria infection|hepatosplenomegaly,8861914,shortens,premature death,0
MGI:2175075,Irf8,heterozygote,decreased,either: (involves: 129P2/OlaHsd) or (involves: 129P2/OlaHsd * C57BL/6),hematopoietic system,2,0,1,abnormal definitive hematopoiesis|increased chronic myelocytic leukemia incidence,8861914,shortens,premature death,0
MGI:2175077,Idc,heterozygote,unknown,involves: 101 * C3H,vision/eye,13,0,1,belly spot|decreased body size|microphthalmia|abnormal lens morphology|cataract|fused cornea and lens|cornea opacity|abnormal pupil morphology|abnormal iris morphology|abnormal pupillary reflex|lenticonus|blepharitis|total cataract,3209064|3209064|7035547|7035547,shortens,premature death,0
MGI:2175098,Large1,homozygote,unknown,MYD/Le-Os +/+ Large<myd>/J,muscle,20,0,1,kyphosis|muscle degeneration|myopathy|dystrophic muscle|abnormal tongue morphology|abnormal myelination|abnormal spinal nerve morphology|absent Schwann cells|decreased body weight|abnormal gait|limb grasping|postnatal growth retardation|reduced fertility|abnormal muscle physiology|abnormal muscle morphology|abnormal skeletal muscle fiber morphology|calcified muscle|abnormal bone structure|myositis|increased variability of skeletal muscle fiber size,647395|939913,shortens,premature death,0
MGI:2175185,Ntrk1,homozygote,decreased,involves: 129S2/SvPas,nervous system,17,0,1,mottled coat|ulcerated autopod|small dorsal root ganglion|abnormal sympathetic ganglion morphology|small superior cervical ganglion|abnormal cholinergic neuron morphology|small trigeminal ganglion|skin lesions|decreased body size|cornea opacity|blepharoptosis|abnormal vibrissae reflex|unresponsive to tactile stimuli|increased thermal nociceptive threshold|miotic pupil|abnormal digit morphology|abnormal sympathetic nervous system physiology,8145823,shortens,premature death,0
MGI:2175190,Ntrk3,homozygote,decreased,involves: 129S2/SvPas * C57BL/6,nervous system,11,0,1,abnormal sensory neuron innervation pattern|decreased body size|impaired coordination|limb grasping|impaired limb coordination|athetotic walking movements|abnormal cochlear sensory epithelium morphology|small cochlear ganglion|small vestibular ganglion|abnormal cochlear IHC afferent innervation pattern|abnormal lumbar dorsal root ganglion morphology,7588071|8145824,shortens,premature death,0
MGI:2175195,Otx1,homozygote,decreased,involves: 129P2/OlaHsd * C57BL/6 * DBA/2,nervous system,22,0,1,absent semicircular canals|increased inferior colliculus size|abnormal cerebral cortex morphology|abnormal midbrain morphology|increased superior colliculus size|convulsive seizures|nonconvulsive seizures|small ovary|abnormal ovarian folliculogenesis|small testis|arrest of spermatogenesis|decreased body weight|abnormal iris morphology|absent lacrimal glands|postnatal growth retardation|abnormal pituitary secretion|decreased brain weight|abnormal seminiferous tubule morphology|delayed fertility|decreased circulating testosterone level|absent Harderian gland|increased cerebellar foliation,8841200|9477321,shortens,premature death,0
MGI:2175213,Pdgfa,homozygote,decreased,involves: 129P2/OlaHsd * C57BL,respiratory system,17,0,1,heart right ventricle hypertrophy|abnormal lung morphology|atelectasis|lung hemorrhage|absent pulmonary alveoli|decreased body size|postnatal growth retardation|emphysema|thick ventricular wall|abnormal pulmonary elastic fiber morphology|decreased fetal size|fetal growth retardation|enlarged thoracic cavity|impaired lung alveolus development|pneumothorax|abnormal pulmonary interalveolar septum morphology|abnormal pulmonary alveolar parenchyma morphology,8681381,shortens,premature death,1
MGI:2175216,Htr2c,hemizygote,decreased,either: (involves: 129S2/SvPas * C57BL/6J * DBA/2) or (involves: 129S4/SvJae * C57BL/6J * DBA/2),behavior/neurological,11,0,1,increased white adipose tissue amount|sporadic seizures|increased body weight|polyphagia|increased grooming behavior|tonic seizures|increased susceptibility to pharmacologically induced seizures|tonic-clonic seizures|increased epididymal fat pad weight|increased renal fat pad weight|impaired behavioral response to xenobiotic,7700379,shortens,premature death,0
MGI:2175441,Lbw2,other,unknown,involves: NZB * NZW,immune system,4,0,1,glomerulonephritis|increased autoantibody level|increased anti-chromatin antibody level|increased spleen weight,15814738|15814738|9449705|9449705,shortens,premature death,0
MGI:2175442,Lbw2,other,unknown,involves: NZB * NZW,immune system,3,0,1,glomerulonephritis|increased autoantibody level|increased anti-chromatin antibody level,15814738|15814738|7937857|7937857,shortens,premature death,0
MGI:2175506,Lbw3,other,unknown,involves: NZB/BlScr * NZW/LacScr,,0,0,1,,7937857,shortens,premature death,0
MGI:2175698,Apaf1,homozygote,decreased,involves: 129S6/SvEvTac * C57BL/6J,nervous system,24,0,1,abnormal brain ventricle morphology|abnormal lateral ventricle morphology|exencephaly|cranioschisis|open neural tube|hyperactivity|hydrocephaly|reduced female fertility|male infertility|abnormal seminiferous tubule morphology|abnormal nasal septum morphology|decreased neuron apoptosis|abnormal palate morphology|abnormal embryonic/fetal subventricular zone morphology|azoospermia|abnormal viscerocranium morphology|abnormal otic vesicle development|abnormal retina neuronal layer morphology|abnormal spermatogonia morphology|abnormal neuron differentiation|increased embryonic neuroepithelium thickness|abnormal fibroblast apoptosis|impaired neuronal migration|increased locomotor activity,10656767,shortens,premature death,1
MGI:2175703,Atm,homozygote,decreased,either: 129S6/SvEvTac-Atm<tm1Awb> or (involves: 129S6/SvEvTac * NIH Black Swiss),reproductive system,33,1,1,abnormal Purkinje cell morphology|abnormal female reproductive system morphology|abnormal uterus morphology|small ovary|abnormal male reproductive system morphology|small testis|arrest of spermatogenesis|decreased body weight|decreased body size|decreased locomotor activity|impaired coordination|short stride length|decreased activated T cell number|abnormal reproductive system physiology|male infertility|female infertility|abnormal gametogenesis|increased cellular sensitivity to gamma-irradiation induced cell death|increased T cell derived lymphoma incidence|abnormal seminiferous tubule morphology|decreased vertical activity|absent ovarian follicles|abnormal cell cycle|oxidative stress|absent oocytes|decreased T cell number|abnormal lysosome morphology|increased double-positive T cell number|decreased double-positive T cell number|azoospermia|absent estrous cycle|absent estrus|decreased fibroblast proliferation,10449794|10639172|8689683,shortens,premature death,0
MGI:2175706,Atm,homozygote,decreased,involves: 129S4/SvJae,hematopoietic system,26,1,1,small thymus|decreased thymocyte number|Purkinje cell degeneration|abnormal cerebellar molecular layer|decreased body weight|postnatal growth retardation|decreased IgG level|male infertility|female infertility|increased cellular sensitivity to gamma-irradiation induced cell death|increased T cell derived lymphoma incidence|abnormal T cell physiology|absent ovarian follicles|neuron degeneration|abnormal microglial cell physiology|abnormal cell cycle checkpoint function|abnormal cerebellar granule cell morphology|absent oocytes|abnormal female meiosis|decreased pre-B cell number|arrest of male meiosis|decreased IgG2a level|decreased IgG2b level|decreased IgG3 level|decreased fibroblast proliferation|ovary degeneration,8843193|8843194|9356511,shortens,decreased tumor-free survival time,0
MGI:2175707,Atm,homozygote,decreased,involves: 129S4/SvJae * C57BL/6,hematopoietic system,18,1,1,decreased thymocyte number|ectopic Purkinje cell|thin cerebellar molecular layer|decreased body weight|decreased locomotor activity|postnatal growth retardation|male infertility|female infertility|increased cellular sensitivity to gamma-irradiation induced cell death|increased T cell derived lymphoma incidence|abnormal motor learning|decreased lymphocyte cell number|decreased T cell number|decreased pre-B cell number|decreased immature B cell number|abnormal Purkinje cell dendrite morphology|decreased splenocyte number|abnormal Purkinje cell axon morphology,10716718,shortens,premature death,0
